City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chibuto,MZ,-24.6867,33.5306,74.89,71,0,8.66,clear sky
80,Bredasdorp,ZA,-34.5322,20.0403,62.13,76,84,9.8,light rain
81,Qovlar,AZ,40.948,45.735,57.49,42,20,6.15,few clouds
82,Rafraf,TN,37.1904,10.1837,50.31,56,5,19.62,clear sky
83,Praia,CV,14.9215,-23.5087,70.34,73,20,11.5,few clouds
84,Yantarnyy,RU,54.8717,19.9381,31.86,64,13,15.61,few clouds
85,New Norfolk,AU,-42.7826,147.0587,56.91,68,75,2.48,broken clouds
86,Miyako,JP,39.6367,141.9525,43.84,59,3,1.79,clear sky
87,East London,ZA,-33.0153,27.9116,66.76,87,100,10.04,light rain
88,Marsh Harbour,BS,26.5412,-77.0636,77.61,78,8,13.0,clear sky
89,Nikolskoye,RU,59.7035,30.7861,27.88,95,7,3.11,clear sky
90,Koslan,RU,63.4564,48.8989,5.36,98,61,3.31,broken clouds
91,Yellowknife,CA,62.456,-114.3525,6.3,42,100,4.0,overcast clouds
92,Launceston,AU,-41.45,147.1667,56.84,79,100,24.16,moderate rain
93,Leningradskiy,RU,69.3833,178.4167,-4.5,94,100,11.92,overcast clouds
94,Carballo,ES,43.213,-8.691,47.01,78,3,6.42,clear sky
95,Maniitsoq,GL,65.4167,-52.9,30.04,90,100,6.06,overcast clouds
96,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.28,88,78,8.55,broken clouds
97,Hiriyur,IN,13.9456,76.6192,77.11,60,21,5.21,few clouds
98,Chumikan,RU,54.7183,135.315,31.68,89,100,13.47,overcast clouds
99,Saint-Philippe,RE,-21.3585,55.7679,73.11,97,100,18.3,very heavy rain
100,Umea,SE,63.8284,20.2597,26.53,63,0,10.36,clear sky
101,Cockburn Town,TC,21.4612,-71.1419,78.76,65,40,18.41,scattered clouds
102,Lumphat,KH,13.4878,106.9816,68.36,89,96,2.39,overcast clouds
103,Sorong,ID,-0.8833,131.25,80.37,82,93,5.82,overcast clouds
104,Feni,BD,23.0186,91.41,73.58,94,12,2.86,few clouds
105,Atuona,PF,-9.8,-139.0333,79.77,73,3,16.24,clear sky
106,Almas,RO,46.2833,22.2333,38.46,99,100,4.25,overcast clouds
107,Chuy,UY,-33.6971,-53.4616,62.6,76,2,11.79,clear sky
108,Tingi,TZ,-11.3,35.0333,62.65,95,46,3.76,scattered clouds
109,Alofi,NU,-19.0595,-169.9187,80.33,73,55,9.91,moderate rain
110,Pisco,PE,-13.7,-76.2167,67.01,82,0,21.85,clear sky
111,Hualmay,PE,-11.0964,-77.6139,70.75,80,82,10.4,broken clouds
112,Maarianhamina,AX,60.0973,19.9348,30.06,74,0,5.75,clear sky
113,Yeppoon,AU,-23.1333,150.7333,76.78,65,43,13.13,scattered clouds
114,Ribeira Grande,PT,38.5167,-28.7,59.85,72,96,18.48,overcast clouds
115,Tezu,IN,27.9167,96.1667,68.67,87,97,4.23,overcast clouds
116,Sola,VU,-13.8833,167.55,81.5,78,100,16.46,heavy intensity rain
117,Muros,ES,42.7762,-9.0603,48.09,65,3,18.16,clear sky
118,Barrow,US,71.2906,-156.7887,-3.98,77,40,13.8,haze
119,Broken Hill,AU,-31.95,141.4333,61.09,50,16,4.14,few clouds
120,Vao,NC,-22.6667,167.4833,79.14,87,69,19.95,broken clouds
121,Villablino,ES,42.9393,-6.3194,31.77,96,49,3.06,scattered clouds
122,San Fernando,PH,15.0286,120.6898,76.93,71,99,3.42,overcast clouds
123,Dikson,RU,73.5069,80.5464,-6.57,100,89,8.34,overcast clouds
124,Peniche,PT,39.3558,-9.3811,51.12,70,99,14.85,overcast clouds
125,Port Hardy,CA,50.6996,-127.4199,43.88,89,100,15.88,light rain
126,Cabedelo,BR,-6.9811,-34.8339,80.06,79,62,11.23,broken clouds
127,Tokur,RU,53.1333,132.9,26.85,94,100,5.06,overcast clouds
128,San Patricio,US,28.017,-97.5169,93.29,35,0,7.81,clear sky
129,Nanortalik,GL,60.1432,-45.2371,36.39,93,100,9.48,overcast clouds
130,Bambous Virieux,MU,-20.3428,57.7575,75.22,87,100,16.04,moderate rain
131,Duku,NG,11.2361,4.9073,89.2,19,98,0.72,overcast clouds
132,San Cristobal,VE,7.7669,-72.225,77.18,67,33,2.66,scattered clouds
133,Tambura,SS,5.6,27.4667,74.95,69,88,4.92,light rain
134,Westport,US,41.1415,-73.3579,51.62,48,0,9.22,clear sky
135,Sao Filipe,CV,14.8961,-24.4956,70.9,80,34,5.08,scattered clouds
136,Nantucket,US,41.2835,-70.0995,48.31,68,0,16.11,clear sky
137,Baiao,BR,-2.7906,-49.6717,75.58,95,82,2.71,broken clouds
138,Ponta Do Sol,PT,32.6667,-17.1,63.23,82,100,8.68,overcast clouds
139,Seddon,AU,-37.8068,144.8916,62.82,88,75,6.91,broken clouds
140,Paracatu,BR,-17.2222,-46.8747,74.57,55,20,4.34,few clouds
141,Bilibino,RU,68.0546,166.4372,11.12,75,100,0.4,overcast clouds
142,Cabo San Lucas,MX,22.8909,-109.9124,81.61,64,40,19.57,scattered clouds
143,Mahebourg,MU,-20.4081,57.7,75.25,87,100,16.42,moderate rain
144,Fare,PF,-16.7,-151.0167,81.97,75,87,8.48,overcast clouds
145,Caravelas,BR,-17.7125,-39.2481,76.82,83,0,5.37,clear sky
146,Fomboni,KM,-12.28,43.7425,82.0,71,35,2.68,scattered clouds
147,Monte Alegre,BR,-2.0078,-54.0692,76.3,95,84,3.38,broken clouds
148,Sehithwa,BW,-20.4667,22.7167,76.89,47,81,0.58,broken clouds
149,Mabama,TZ,-5.1333,32.5333,65.59,90,80,4.45,light rain
150,Amurzet,RU,47.6967,131.0981,40.01,61,3,10.07,clear sky
151,Tabuk,PH,17.4189,121.4443,71.35,96,100,3.96,overcast clouds
152,Bongandanga,CD,1.5,21.05,72.66,89,100,2.35,overcast clouds
153,Mgandu,TZ,-5.95,34.1333,62.15,78,70,7.27,broken clouds
154,Leh,IN,34.1667,77.5833,23.67,71,2,3.74,clear sky
155,Harper,LR,4.375,-7.7169,79.14,85,100,10.45,overcast clouds
156,Amapa,BR,1.0,-52.0,73.6,98,100,3.71,light rain
157,Lompoc,US,34.6391,-120.4579,68.14,80,100,12.66,overcast clouds
158,Krasnokamensk,RU,50.0979,118.0369,37.4,41,48,5.35,scattered clouds
159,Bykovo,RU,55.6361,38.0803,30.61,100,100,8.95,snow
160,Kushmurun,KZ,52.4503,64.6311,35.26,90,100,9.48,overcast clouds
161,Caledon,ZA,-34.23,19.4265,59.07,83,95,12.28,overcast clouds
162,Bubaque,GW,11.2833,-15.8333,74.77,70,85,18.45,overcast clouds
163,Bria,CF,6.5423,21.9863,80.13,54,72,5.77,broken clouds
164,Gull Lake,CA,50.1001,-108.4847,50.83,36,100,8.84,overcast clouds
165,Kavieng,PG,-2.5744,150.7967,79.14,82,100,12.24,overcast clouds
166,Menongue,AO,-14.6585,17.691,65.8,86,100,2.53,light rain
167,Manaure,CO,11.7751,-72.4445,84.61,62,72,19.28,broken clouds
168,Bardsir,IR,29.9227,56.5743,57.78,16,0,6.17,clear sky
169,Halifax,CA,44.6453,-63.5724,39.69,70,100,8.99,overcast clouds
170,Thompson,CA,55.7435,-97.8558,27.12,78,100,3.49,overcast clouds
171,Iwanai,JP,42.9744,140.5089,41.47,72,78,10.76,broken clouds
172,Nadym,RU,65.5333,72.5167,-0.31,95,14,8.84,few clouds
173,Chilmari,BD,25.5559,89.6715,74.05,86,12,7.05,few clouds
174,Tiarei,PF,-17.5333,-149.3333,87.01,79,100,10.54,light rain
175,Male,MV,4.1748,73.5089,82.35,72,25,2.8,scattered clouds
176,Grindavik,IS,63.8424,-22.4338,45.07,100,100,13.8,light rain
177,Waki,JP,34.0667,134.15,48.07,68,100,1.9,overcast clouds
178,Khatanga,RU,71.9667,102.5,-2.51,98,100,7.96,overcast clouds
179,Mogapinyana,BW,-22.3667,27.6,68.74,49,6,7.81,clear sky
180,Seoul,KR,37.5683,126.9778,42.24,44,0,0.81,clear sky
181,Vysokopillya,UA,47.4919,33.5306,49.15,88,97,7.9,overcast clouds
182,Lebu,CL,-37.6167,-73.65,54.1,91,100,16.35,overcast clouds
183,Karratha,AU,-20.7377,116.8463,80.38,79,1,6.02,clear sky
184,Kamenka,RU,51.3223,42.7678,52.18,71,8,18.95,clear sky
185,Haines Junction,CA,60.7522,-137.5108,35.51,70,94,2.33,overcast clouds
186,Okato,NZ,-39.2,173.8833,65.68,75,100,6.29,overcast clouds
187,Xuanhua,CN,40.6103,115.0447,44.19,30,98,1.3,overcast clouds
188,Dillon,US,34.4166,-79.3712,68.04,64,74,6.58,broken clouds
189,Ilhabela,BR,-23.7781,-45.3581,73.94,90,98,8.19,overcast clouds
190,Lagoa,PT,39.05,-27.9833,58.75,74,53,14.72,broken clouds
191,Hilo,US,19.7297,-155.09,77.25,85,100,8.01,light rain
192,Banda Aceh,ID,5.5577,95.3222,79.7,80,100,5.79,light rain
193,Rapid City,US,44.0805,-103.231,62.29,29,0,18.41,clear sky
194,Libertador General San Martin,AR,-23.8064,-64.7876,62.83,57,1,4.45,clear sky
195,Waingapu,ID,-9.6567,120.2641,77.56,82,31,3.89,scattered clouds
196,Port Elizabeth,ZA,-33.918,25.5701,63.1,98,100,1.01,overcast clouds
197,Morro Bay,US,35.3658,-120.8499,74.28,74,90,5.01,overcast clouds
198,Waddan,LY,29.1614,16.139,73.02,15,45,15.97,scattered clouds
199,Gaya,IN,24.7833,85.0,78.3,70,2,2.75,clear sky
200,Mandalgovi,MN,45.7625,106.2708,35.53,21,40,7.58,scattered clouds
201,Porto Walter,BR,-8.2686,-72.7439,74.86,75,88,0.89,overcast clouds
202,Nueva Concepcion,GT,14.2,-91.3,88.11,52,60,11.41,broken clouds
203,Bambanglipuro,ID,-7.95,110.2833,75.76,88,58,2.59,broken clouds
204,Balykshi,KZ,47.0667,51.8667,57.2,58,40,11.18,scattered clouds
205,Port Lincoln,AU,-34.7333,135.8667,63.12,74,17,6.93,few clouds
206,Sovetskiy,RU,61.3614,63.5842,8.35,97,96,2.66,overcast clouds
207,Talnakh,RU,69.4865,88.3972,3.24,97,100,5.41,overcast clouds
208,Pangnirtung,CA,66.1451,-65.7125,19.11,92,94,4.34,overcast clouds
209,Malakal,SS,9.5334,31.6605,89.62,13,68,5.35,broken clouds
210,Healdsburg,US,38.6105,-122.8692,82.31,31,0,3.44,clear sky
211,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,8.05,clear sky
212,Solginskiy,RU,61.05,41.3428,17.56,94,97,6.44,overcast clouds
213,Wuwei,CN,37.9281,102.6414,43.39,27,0,4.09,clear sky
214,Middelburg,ZA,-25.7751,29.4648,65.95,58,85,6.67,overcast clouds
