City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
709,Banikoara,BJ,89.56,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
711,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
713,Trincomalee,LK,78.51,overcast clouds,8.5711,81.2335,Welcombe Hotel
716,Kanniyakumari,IN,80.83,scattered clouds,8.0833,77.5667,Sparsa Kanyakumari
719,Portales,US,78.33,clear sky,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
721,Palembang,ID,75.29,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
722,Dicabisagan,PH,76.64,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
731,Inirida,CO,77.23,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
733,Lorengau,PG,80.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
736,Purna,IN,84.58,few clouds,19.1833,77.05,हनुमान इंजिनिअरींग वर्कशॉप
